run,operation,started,time,status,label,batch_size,lr,sample_file,epochs,hidden_size,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,output_size,tsample,tsr_stop,sc_true,sc_false,l1_loss_train,l2_loss_train,l1_loss_test,l2_loss_test,network,path,bin_duration,data_path,save_dir,threshold,prob
c0f045fa,vt_optimize:tact,2020-04-01 22:45:56,0:09:37,completed,batch_size=1 cuda=1 lr=0.005 sample_file=2,1,0.005,2,,,,,,,,,,,,,,,,,,,,,,,,
c0f1555d,vt_optimize:tact,2020-04-01 22:36:20,0:09:35,completed,batch_size=1 cuda=1 lr=0.001 sample_file=2,1,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
a2602d22,vtsnn:viz_ann_cnn3d,2020-03-25 07:18:38,4:32:02,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=5000 lr=1.0e-05 output_size=20 sample_file=5,8,1e-05,5,5000,,0.0,1.0,0.295576274394989,0.8333333134651184,0.7166666388511658,1.0,,,,,,,,,,,,,,,,
b704ff14,vtsnn:viz_ann_cnn3d,2020-03-25 02:49:29,4:29:08,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=5000 lr=1.0e-05 output_size=20 sample_file=4,8,1e-05,4,5000,,0.0,1.0,0.4921916127204895,0.6333333253860474,0.5333333611488342,1.0,,,,,,,,,,,,,,,,
b28beb61,vtsnn:viz_ann_cnn3d,2020-03-24 22:20:10,4:29:18,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=5000 lr=1.0e-05 output_size=20 sample_file=3,8,1e-05,3,5000,,0.0,1.0,0.20829446613788605,0.8166666626930237,0.7666666507720947,1.0,,,,,,,,,,,,,,,,
ca969dd0,vtsnn:viz_ann_cnn3d,2020-03-24 17:54:15,4:25:54,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=5000 lr=1.0e-05 output_size=20 sample_file=2,8,1e-05,2,5000,,0.0,1.0,0.6355583667755127,0.699999988079071,0.6166666746139526,1.0,,,,,,,,,,,,,,,,
a5482a38,vtsnn:viz_ann_cnn3d,2020-03-24 13:31:16,4:22:58,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=5000 lr=1.0e-05 output_size=20 sample_file=1,8,1e-05,1,5000,,0.0,1.0,0.24557530879974365,0.7666666507720947,0.6833333373069763,1.0,,,,,,,,,,,,,,,,
c02108fb,vtsnn:viz_ann_cnn3d,2020-03-24 13:31:07,,staged,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=5000 lr=1.0e-05 output_size=20 sample_file=5,8,1e-05,5,5000,,,,,,,,,,,,,,,,,,,,,,,
52990b4f,vtsnn:viz_ann_cnn3d,2020-03-24 13:31:07,,staged,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=5000 lr=1.0e-05 output_size=20 sample_file=4,8,1e-05,4,5000,,,,,,,,,,,,,,,,,,,,,,,
41e5ac73,vtsnn:viz_ann_cnn3d,2020-03-24 13:31:07,,staged,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=5000 lr=1.0e-05 output_size=20 sample_file=3,8,1e-05,3,5000,,,,,,,,,,,,,,,,,,,,,,,
5c6f53cf,vtsnn:viz_ann_cnn3d,2020-03-24 13:31:07,,staged,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=5000 lr=1.0e-05 output_size=20 sample_file=2,8,1e-05,2,5000,,,,,,,,,,,,,,,,,,,,,,,
bd9cb9cb,vtsnn:mm_ann_cnn3d,2020-03-24 05:11:42,0:33:11,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=600 lr=1.0e-05 output_size=20 sample_file=5,8,1e-05,5,600,,7.354840636253357e-05,1.0,0.1291934996843338,0.8500000238418579,0.800000011920929,1.0,20,,,,,,,,,,,,,,,
